Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.1.1-8.8.8.8-53328-53-17,10.0.1.1,53328,8.8.8.8,53,17,11/04/2022 11:26:52 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-58050-53-17,10.0.1.1,58050,8.8.8.8,53,17,11/04/2022 11:36:39 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-10.0.1.2-43072-55555-6,10.0.1.1,43072,10.0.1.2,55555,6,11/04/2022 11:28:09 PM,0,2,1,863,13,855,8,431.5,598.9194437,13,13,13,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,32,0,0,8,855,221,422.6732386,178652.6667,0,0,0,3,3,0,0,0,0,294.6666667,431.5,13,0,0,0,0,0,0,0,0,0,0,502,509,1,32,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-38415-53-17,10.0.1.1,38415,8.8.8.8,53,17,11/04/2022 11:36:16 PM,5002,2,0,54,0,27,27,27,0,0,0,0,0,10795.68173,399.840064,5002,0,5002,5002,5002,5002,0,5002,5002,0,0,0,0,0,0,0,0,0,70,0,399.840064,0,27,27,27,0,0,0,0,0,0,0,0,0,0,0,40.5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-53295-53-17,10.0.1.1,53295,8.8.8.8,53,17,11/04/2022 11:39:01 PM,5003,4,0,156,0,39,39,39,0,0,0,0,0,31181.29123,799.5202878,1667.666667,2888.483397,5003,0,5003,1667.666667,2888.483397,5003,0,0,0,0,0,0,0,0,0,0,188,0,799.5202878,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31181,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-10.0.1.2-43022-55555-6,10.0.1.1,43022,10.0.1.2,55555,6,11/04/2022 11:23:58 PM,1,2,1,908,13,900,8,454,630.7392488,13,13,13,0,9.21E+08,3000000,0.5,0.7071067812,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,64,32,2000000,1000000,8,900,232.25,445.1729065,198178.9167,0,0,0,3,3,0,0,0,0,309.6666667,454,13,0,0,0,0,0,0,0,0,0,0,502,509,1,32,0,0,0,0,0,0,0,0,Benign
10.0.1.1-10.0.1.2-43040-55555-6,10.0.1.1,43040,10.0.1.2,55555,6,11/04/2022 11:25:29 PM,0,2,1,730,13,722,8,365,504.8742418,13,13,13,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,32,0,0,8,722,187.75,356.1744657,126860.25,0,0,0,3,3,0,0,0,0,250.3333333,365,13,0,0,0,0,0,0,0,0,0,0,502,509,1,32,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-60963-53-17,10.0.1.1,60963,8.8.8.8,53,17,11/04/2022 11:31:21 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-10.0.1.2-43054-55555-6,10.0.1.1,43054,10.0.1.2,55555,6,11/04/2022 11:26:39 PM,0,2,1,981,13,973,8,490.5,682.3580438,13,13,13,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,32,0,0,8,973,250.5,481.6724336,232008.3333,0,0,0,3,3,0,0,0,0,334,490.5,13,0,0,0,0,0,0,0,0,0,0,502,509,1,32,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-37444-53-17,10.0.1.1,37444,8.8.8.8,53,17,11/04/2022 11:50:33 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-36039-53-17,10.0.1.1,36039,8.8.8.8,53,17,11/04/2022 11:26:32 PM,5003,4,0,156,0,39,39,39,0,0,0,0,0,31181.29123,799.5202878,1667.666667,2888.483397,5003,0,5003,1667.666667,2888.483397,5003,0,0,0,0,0,0,0,0,0,0,188,0,799.5202878,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31181,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-33149-53-17,10.0.1.1,33149,8.8.8.8,53,17,11/04/2022 11:34:08 PM,5003,4,0,156,0,39,39,39,0,0,0,0,0,31181.29123,799.5202878,1667.666667,2888.483397,5003,0,5003,1667.666667,2888.483397,5003,0,0,0,0,0,0,0,0,0,0,188,0,799.5202878,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31181,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-10.0.1.2-43058-55555-6,10.0.1.1,43058,10.0.1.2,55555,6,11/04/2022 11:26:59 PM,1,2,1,960,13,952,8,480,667.5088014,13,13,13,0,9.73E+08,3000000,0.5,0.7071067812,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,64,32,2000000,1000000,8,952,245.25,471.1725622,222003.5833,0,0,0,3,3,0,0,0,0,327,480,13,0,0,0,0,0,0,0,0,0,0,502,509,1,32,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-51777-53-17,10.0.1.1,51777,8.8.8.8,53,17,11/04/2022 11:32:07 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-39896-53-17,10.0.1.1,39896,8.8.8.8,53,17,11/04/2022 11:27:48 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-53541-53-17,10.0.1.1,53541,8.8.8.8,53,17,11/04/2022 11:38:51 PM,5003,4,0,156,0,39,39,39,0,0,0,0,0,31181.29123,799.5202878,1667.666667,2888.483397,5003,0,5003,1667.666667,2888.483397,5003,0,0,0,0,0,0,0,0,0,0,188,0,799.5202878,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31181,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-10.0.1.2-43044-55555-6,10.0.1.1,43044,10.0.1.2,55555,6,11/04/2022 11:25:49 PM,1,2,1,890,13,882,8,445,618.0113268,13,13,13,0,9.03E+08,3000000,0.5,0.7071067812,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,64,32,2000000,1000000,8,882,227.75,436.1730352,190246.9167,0,0,0,3,3,0,0,0,0,303.6666667,445,13,0,0,0,0,0,0,0,0,0,0,502,509,1,32,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-51852-53-17,10.0.1.1,51852,8.8.8.8,53,17,11/04/2022 11:46:21 PM,5003,4,0,156,0,39,39,39,0,0,0,0,0,31181.29123,799.5202878,1667.666667,2888.483397,5003,0,5003,1667.666667,2888.483397,5003,0,0,0,0,0,0,0,0,0,0,188,0,799.5202878,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31181,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-34277-53-17,10.0.1.1,34277,8.8.8.8,53,17,11/04/2022 11:33:01 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-48052-53-17,10.0.1.1,48052,8.8.8.8,53,17,11/04/2022 11:33:32 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-37455-53-17,10.0.1.1,37455,8.8.8.8,53,17,11/04/2022 11:28:52 PM,5005,4,0,156,0,39,39,39,0,0,0,0,0,31168.83117,799.2007992,1668.333333,2888.772115,5004,0,5005,1668.333333,2888.772115,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.2007992,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31168,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-41422-53-17,10.0.1.1,41422,8.8.8.8,53,17,11/04/2022 11:40:08 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-36814-53-17,10.0.1.1,36814,8.8.8.8,53,17,11/04/2022 11:37:34 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2888.194765,5003,0,5004,1668,2888.194765,5003,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-43177-53-17,10.0.1.1,43177,8.8.8.8,53,17,11/04/2022 11:36:19 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-42636-53-17,10.0.1.1,42636,8.8.8.8,53,17,11/04/2022 11:49:48 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-43275-53-17,10.0.1.1,43275,8.8.8.8,53,17,11/04/2022 11:48:22 PM,5003,4,0,156,0,39,39,39,0,0,0,0,0,31181.29123,799.5202878,1667.666667,2888.483397,5003,0,5003,1667.666667,2888.483397,5003,0,0,0,0,0,0,0,0,0,0,188,0,799.5202878,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31181,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-10.0.1.2-43064-55555-6,10.0.1.1,43064,10.0.1.2,55555,6,11/04/2022 11:27:29 PM,1,2,1,947,13,939,8,473.5,658.3164133,13,13,13,0,9.60E+08,3000000,0.5,0.7071067812,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,64,32,2000000,1000000,8,939,242,464.6726446,215920.6667,0,0,0,3,3,0,0,0,0,322.6666667,473.5,13,0,0,0,0,0,0,0,0,0,0,502,509,1,32,0,0,0,0,0,0,0,0,Benign
10.0.1.1-10.0.1.2-43060-55555-6,10.0.1.1,43060,10.0.1.2,55555,6,11/04/2022 11:27:09 PM,0,2,1,934,13,926,8,467,649.1240251,13,13,13,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,32,0,0,8,926,238.75,458.1727294,209922.25,0,0,0,3,3,0,0,0,0,318.3333333,467,13,0,0,0,0,0,0,0,0,0,0,502,509,1,32,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-33076-53-17,10.0.1.1,33076,8.8.8.8,53,17,11/04/2022 11:28:08 PM,5005,4,0,156,0,39,39,39,0,0,0,0,0,31168.83117,799.2007992,1668.333333,2889.638097,5005,0,5005,1668.333333,2889.638097,5005,0,0,0,0,0,0,0,0,0,0,188,0,799.2007992,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31168,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-51181-53-17,10.0.1.1,51181,8.8.8.8,53,17,11/04/2022 11:41:15 PM,5003,4,0,156,0,39,39,39,0,0,0,0,0,31181.29123,799.5202878,1667.666667,2888.483397,5003,0,5003,1667.666667,2888.483397,5003,0,0,0,0,0,0,0,0,0,0,188,0,799.5202878,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31181,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-57000-53-17,10.0.1.1,57000,8.8.8.8,53,17,11/04/2022 11:29:02 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-45797-53-17,10.0.1.1,45797,8.8.8.8,53,17,11/04/2022 11:31:57 PM,5003,4,0,156,0,39,39,39,0,0,0,0,0,31181.29123,799.5202878,1667.666667,2888.483397,5003,0,5003,1667.666667,2888.483397,5003,0,0,0,0,0,0,0,0,0,0,188,0,799.5202878,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31181,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-50143-53-17,10.0.1.1,50143,8.8.8.8,53,17,11/04/2022 11:23:37 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-10.0.1.2-43034-55555-6,10.0.1.1,43034,10.0.1.2,55555,6,11/04/2022 11:24:58 PM,1,2,1,973,13,965,8,486.5,676.7011896,13,13,13,0,9.86E+08,3000000,0.5,0.7071067812,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,64,32,2000000,1000000,8,965,248.5,477.6724819,228171,0,0,0,3,3,0,0,0,0,331.3333333,486.5,13,0,0,0,0,0,0,0,0,0,0,502,509,1,32,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-45489-53-17,10.0.1.1,45489,8.8.8.8,53,17,11/04/2022 11:43:03 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-50631-53-17,10.0.1.1,50631,8.8.8.8,53,17,11/04/2022 11:51:49 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-10.0.1.2-43038-55555-6,10.0.1.1,43038,10.0.1.2,55555,6,11/04/2022 11:25:19 PM,1,2,1,911,13,903,8,455.5,632.8605692,13,13,13,0,9.24E+08,3000000,0.5,0.7071067812,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,64,32,2000000,1000000,8,903,233,446.6728855,199516.6667,0,0,0,3,3,0,0,0,0,310.6666667,455.5,13,0,0,0,0,0,0,0,0,0,0,502,509,1,32,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-44260-53-17,10.0.1.1,44260,8.8.8.8,53,17,11/04/2022 11:29:57 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-46459-53-17,10.0.1.1,46459,8.8.8.8,53,17,11/04/2022 11:44:10 PM,5003,4,0,156,0,39,39,39,0,0,0,0,0,31181.29123,799.5202878,1667.666667,2888.483397,5003,0,5003,1667.666667,2888.483397,5003,0,0,0,0,0,0,0,0,0,0,188,0,799.5202878,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31181,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
